0.6,0.003,0.0625,7959,239241
0.6,0.005,0.0375,17631,503681
0.6,0.007,0.0267857,26893,729423
0.6,0.009,0.0208333,33923,887756
0.6,0.011,0.0170455,38696,985043
0.6,0.013,0.0144231,41460,1.03431e+06
0.6,0.015,0.0125,42809,1.04979e+06
0.6,0.017,0.0110294,43103,1.04334e+06
0.6,0.019,0.00986842,42822,1.02277e+06
0.6,0.021,0.00892857,42067,994476
0.6,0.023,0.00815217,41133,961338
0.6,0.025,0.0075,40047,926511
0.6,0.027,0.00694444,38818,890838
0.6,0.029,0.00646552,37638,856079
0.6,0.031,0.00604839,36573,822554
