0.2,0.015,0.0125,18829,553472
0.3,0.015,0.0125,26547,732293
0.45,0.015,0.0125,35683,919783
0.6,0.015,0.0125,42809,1.04979e+06
0.75,0.015,0.0125,48679,1.14462e+06
0.9,0.015,0.0125,53530,1.21581e+06
1.05,0.015,0.0125,57696,1.27183e+06
1.2,0.015,0.0125,61352,1.31702e+06
1.35,0.015,0.0125,64565,1.35375e+06
1.5,0.015,0.0125,67450,1.38376e+06
1.65,0.015,0.0125,70099,1.409e+06
1.8,0.015,0.0125,72557,1.43065e+06
1.95,0.015,0.0125,74775,1.44946e+06
2.1,0.015,0.0125,76833,1.46531e+06
2.25,0.015,0.0125,78791,1.47979e+06
