0,527690,-0.0394607,0.0028234
1,527690,0.0246523,0.00261602
2,527690,0.15866,5.6357
3,527690,-0.0393026,0.00262729
4,527690,0.0246787,0.00253353
5,527690,0.186472,5.53475
0,527694,-0.0398096,0.00253524
1,527694,0.022846,0.00232208
2,527694,0.115024,4.8916
3,527694,-0.0397571,0.00231213
4,527694,0.0228719,0.00209835
5,527694,0.113715,4.89242
0,527731,-0.0392463,0.00334288
1,527731,0.0238838,0.00248271
2,527731,0.463784,5.45411
3,527731,-0.0392671,0.00294798
4,527731,0.0239696,0.00231769
5,527731,0.192145,5.5205
0,527734,-0.0392836,0.00285244
1,527734,0.0223014,0.00230227
2,527734,0.0992524,5.06577
3,527734,-0.0392103,0.00261409
4,527734,0.0223116,0.00221919
5,527734,0.130013,5.11004
0,527736,-0.0393233,0.00281813
1,527736,0.0220066,0.00228133
2,527736,0.262314,4.9216
3,527736,-0.0393075,0.00247023
4,527736,0.0221092,0.00220616
5,527736,0.13841,4.92983
0,529077,-0.0394236,0.00439687
1,529077,0.0229282,0.00226639
2,529077,0.209915,5.60248
3,529077,-0.038823,0.00380487
4,529077,0.0226998,0.00222648
5,529077,0.481,6.12826
0,529078,-0.0396976,0.00323875
1,529078,0.0210234,0.00260081
2,529078,0.437312,5.65387
3,529078,-0.0396923,0.00293175
4,529078,0.0209903,0.00257854
5,529078,0.303043,5.59365
0,529084,-0.0402193,0.0028353
1,529084,0.0195595,0.00248283
2,529084,0.176581,5.00721
3,529084,-0.0401278,0.00255661
4,529084,0.0196011,0.00219178
5,529084,0.00813187,5.01094
0,529088,-0.0400461,0.00274677
1,529088,0.0195278,0.00233981
2,529088,0.145014,5.09274
3,529088,-0.0401343,0.00245568
4,529088,0.0195575,0.00212549
5,529088,0.0774701,4.89323
0,529115,-0.0401905,0.0026713
1,529115,0.0208419,0.00272515
2,529115,0.0935833,5.28222
3,529115,-0.0401286,0.00252879
4,529115,0.020825,0.00261734
5,529115,0.292621,5.48571
0,529116,-0.0401626,0.00245078
1,529116,0.0198255,0.00231796
2,529116,0.177652,5.32035
3,529116,-0.0401063,0.00234205
4,529116,0.0198414,0.00218861
5,529116,0.240036,5.49867
0,529117,-0.0401844,0.00254119
1,529117,0.019897,0.0022579
2,529117,0.218316,5.2787
3,529117,-0.0400732,0.00232983
4,529117,0.0198796,0.0021712
5,529117,0.221343,5.51825
0,529128,-0.0393991,0.00409015
1,529128,0.0225029,0.00274318
2,529128,-1.11153,4.60915
3,529128,-0.0393032,0.00362939
4,529128,0.022208,0.00250055
5,529128,-0.100938,6.08539
0,529129,-0.0400662,0.00354525
1,529129,0.0217807,0.00265316
2,529129,0.189298,5.78396
3,529129,-0.0399486,0.00316747
4,529129,0.0217476,0.00248489
5,529129,0.267958,5.84578
0,529208,-0.0394707,0.00341279
1,529208,0.0187915,0.00243231
2,529208,0.289662,4.92439
3,529208,-0.0395096,0.00295085
4,529208,0.0187385,0.00246603
5,529208,0.130446,5.37163
0,529209,-0.039717,0.00309572
1,529209,0.0186333,0.00252548
2,529209,0.19947,5.37159
3,529209,-0.0396417,0.00281478
4,529209,0.0187312,0.00239042
5,529209,0.174648,5.38312
0,529210,-0.0401025,0.00280444
