100,100,820,124,0.497611,0.04
0.2,2000,1849.33,6802.41,0.496998,0.00517141
0.3,380.336,402.204,63.6272,0.496527,0.0171064
0.45,517.393,821.573,124.781,0.496624,0.00565861
0.6,695.163,1084.01,187.008,0.497001,0.00585603
0.75,825.307,1288.14,266.276,0.496743,0.00565258
0.9,935.785,1431.05,346.469,0.497041,0.00570633
1.05,1002.48,1580.03,439.19,0.497067,0.00562204
1.2,1073.78,1673.15,534.676,0.497096,0.00548385
1.35,1144.09,1731,632.743,0.497127,0.00534872
1.5,1193.69,1794.03,723.707,0.497068,0.00536943
1.65,1241.72,1834.41,824.205,0.497123,0.00531801
1.8,1268.52,1896.15,925.386,0.497139,0.00529821
1.95,1306.08,1923.42,1018.72,0.497148,0.00533966
2.1,1346.3,1934.63,1118.84,0.497159,0.00527183
2.25,1386.85,1932.61,1215.98,0.497149,0.00523759
1,1422.97,1932.55,1314.72,0.497157,0.00520757
1,0,400,50,0.495,0.005
1,1.3398e-12,400,50,0.495,0.005
1,4.87891e-16,400,50,0.495,0.005
1,27.6381,400,50,0.495127,0.00558955
1,18.5279,400,50,0.495,0.0627828
1,33.7173,400,50,0.495,0.0641927
1,45.6088,400,50,0.495,0.063045
1,53.9205,400,50,0.495,0.0631221
1,59.8645,400,50,0.495,0.0629902
1,64.1799,400,50,0.495,0.0634419
1,67.3965,400,50,0.495,0.0638074
1,34.2133,400,50,0.49874,0.00502889
1,232.546,400,50,0.497566,0.005
1,360.145,427.771,52.867,0.49796,0.00678147
1,417.13,511.27,60.2124,0.497411,0.0072473
1,460.525,560.578,68.4389,0.497556,0.00694709
1,470.773,631.142,76.4655,0.497384,0.0068309
1,483.314,671.928,93.0332,0.497426,0.00649301
1,504.228,675.584,99.6048,0.497672,0.0064534
1,518.696,680.18,114.236,0.497722,0.00604101
1,527.114,688.404,118.668,0.497652,0.00614237
1,528.271,703.894,128.143,0.497659,0.00591139
1,172.975,400,57.0518,0.497591,0.00550649
1,384.818,590.777,87.1158,0.496758,0.00514336
1,505.608,795.766,111.117,0.496414,0.0060247
1,594.992,932.072,130.809,0.496553,0.00624235
1,673.063,996.236,159.269,0.496907,0.00567368
1,591.543,1276.43,68.8635,0.495152,0.0126117
1,717.334,1161.86,205.677,0.496997,0.0056386
1,732.158,1207.64,224.072,0.497071,0.00543387
1,748.94,1226.88,241.993,0.497033,0.00546098
1,756.477,1251.51,258.237,0.496969,0.0054969
1,756.15,1281.17,272.886,0.496994,0.0054904
1,236.307,472.974,83.1042,0.497196,0.00541376
1,488.828,751.058,132.913,0.496876,0.005
1,659.858,983.632,162.667,0.496974,0.00607003
1,769.448,1170.11,210.808,0.496897,0.0056562
1,813.343,1359.77,251.667,0.496769,0.00572351
1,868.53,1442.41,302.82,0.496991,0.00534318
1,903.917,1505.7,336.413,0.49701,0.0054106
1,926.164,1559.45,375.314,0.497165,0.0053045
1,957.19,1568.81,407.29,0.497224,0.00519758
1,974.306,1586.5,438.755,0.497296,0.00518432
1,985.867,1601.47,460.17,0.49724,0.00521284
1,278.663,526.716,107.235,0.497011,0.00529162
1,579.327,827.565,179.38,0.496762,0.00535165
1,758.669,1129.18,243.887,0.496802,0.0057827
1,886.076,1341.34,302.535,0.496776,0.00577934
1,963.288,1509.72,371.603,0.496958,0.00552347
1,1023.63,1615.03,432.363,0.497046,0.00543311
1,1051.77,1711.56,494.789,0.497134,0.00534238
1,1079,1767.36,552.025,0.497226,0.00531783
1,1116.01,1773.35,591.917,0.497266,0.00534203
1,1135.73,1791.99,632.459,0.497277,0.00534127
1,1142.51,1821.78,667.197,0.497239,0.00529715
1,316.305,548.759,133.372,0.497067,0.00528184
1,642.004,881.577,232.137,0.496883,0.00542688
1,827.781,1227.29,316.306,0.496981,0.00581966
1,954.559,1483.1,403.608,0.497038,0.00586905
1,1052.52,1641.48,501.242,0.497051,0.00558078
1,1123.18,1749.19,588.911,0.497117,0.00540793
1,1164.49,1831.99,664.093,0.497195,0.0054243
1,1201.69,1879.83,734.643,0.497204,0.00534714
1,1245.62,1879.65,798.402,0.497259,0.00531169
1,1259.05,1914.83,852.34,0.497221,0.00529585
1,1275.73,1928.1,901.991,0.497192,0.00527303
1,346.059,558.951,157.896,0.496798,0.0055107
1,679.942,928.8,292.376,0.496827,0.00541139
1,871.068,1308.37,402.44,0.496918,0.00581208
1,1031.53,1530.31,519.621,0.497001,0.00565483
1,1141.38,1686.4,642.883,0.497083,0.00538808
1,1208.62,1811.25,750.536,0.497079,0.00536029
1,1253.12,1898.28,852.807,0.497113,0.00536298
1,1305.2,1923.73,949.611,0.497196,0.00524794
1,1338.92,1948.05,1026.51,0.497218,0.00522023
1,1360.04,1970.3,1102.69,0.497182,0.00517642
1,1383.21,1973.23,1157.43,0.497167,0.00516766
1,355.63,585.746,186.971,0.496846,0.005643
1,707.464,964.039,355.866,0.496912,0.00529922
1,918.104,1334.37,491.527,0.497027,0.00567467
1,1082.91,1568.23,640.258,0.497069,0.00554068
1,1195.37,1734.05,793.968,0.497113,0.00532217
1,1268.31,1857.37,924.523,0.497135,0.00530244
1,1320.03,1936.37,1044.37,0.497175,0.00531952
1,1376.94,1956.95,1160.05,0.497194,0.0052272
1,1412.02,1979.61,1255.05,0.497196,0.00520705
1,1440.67,1990.14,1337.29,0.497166,0.00518595
1,1460.28,2000,1404.4,0.497185,0.00518263
1,363.332,604.651,219.921,0.496893,0.00564493
1,728.949,985.167,419.007,0.496985,0.00526893
1,689.667,1876.54,332.672,0.495338,0.00501537
